laptop_brand,processor_brand,processor_number,number_of_cores,ram_generation,ram_amount,storage_type,storage_amount,screen_size,price,condition,url,laptop_id
Hewlett Packard,intel,i7,2,ddr3,8gb,hdd,750gb,"12,5`",34650,used,https://www.kupindo.com/Laptopovi/47252925_HP-i7-8-GB-RAM-750-GB-Intel-HD-4000-Akcija,47252925
Hewlett Packard,intel,i7,2,ddr3,4gb,ssd,120gb,15``,34500,used,https://www.kupindo.com/Laptopovi/44488121_Hp-8560P-i7-2640m-4gB-120gB-ssd-15-6iNCH-LED,44488121
Asus,intel,i7,2,ddr3,8gb,hdd,500gb,15.6`,34000,used,https://www.kupindo.com/Laptopovi/46995633_Asus-i7-8gb-RAM-500gb-2-grafike-Akcija,46995633
Lenovo,intel,i7,2,ddr3,8gb,ssd,500gb, 14``,34000,used,https://www.kupindo.com/Laptopovi/49996833_Laptop-Lenovo-ThinkPad-T430S-i7-2-90GHz-8GBRAM-SSD-500G,49996833
Hewlett Packard,intel,i5,2,ddr3,6gb,ssd,240gb,15``,34000,used,https://www.kupindo.com/Laptopovi/53585401_Lep-HP-15-15-6-i5-4-Gen-6GB-SSD-2GB-Grafika-820M,53585401
Hewlett Packard,intel,i5,2,ddr3,8gb,ssd,128 gb, 14``,33750,used,https://www.kupindo.com/Laptopovi/46546825_HP-ProBook-i5-8GB-128-SSD-Akcija,46546825
Lenovo,intel,i5,2,ddr3,8gb,hdd,240 gb, 14``,33600,used,https://www.kupindo.com/Laptopovi/52663245_Lenovo-ThinkPad-T440,52663245
Lenovo,intel,i5,2,ddr3,4 gb,hdd,500 gb, 14``,33200,used,https://www.kupindo.com/Laptopovi/46597013_Lenovo-i5-4gb-500-GB-Intel-HD-Graphics-4600-Akcija,46597013
Hewlett Packard,intel,i5,2,ddr3,4gb,ssd,180 gb, 14``,32850,used,https://www.kupindo.com/Laptopovi/46703025_HP-EliteBook-i5-4GB-180-GB-SSD-Akcija,46703025
Sony,intel,i5,2,ddr3,8gb,hdd,750gb,15``,32000,used,https://www.kupindo.com/Laptopovi/50783869_PRELEP-Sony-VAIO-i5-II-Gen-8GB-750hdd-1GB-Grafika,50783869
Sony,intel,i5,2,ddr3,8gb,hdd,1TB,17``,32000,used,https://www.kupindo.com/Laptopovi/54115583_Sony-VAIO-17-3-i5-2-gen-8GB-1TBhdd-1GB-Grafika,54115583
Asus,intel,i5,2,ddr3,6gb,hdd,500gb,"15,6`",31950,used,https://www.kupindo.com/Laptopovi/47253573_Asus-i5-6-GB-RAM-500-GB-DVE-GRAFIKE-Akcija,47253573
Sony,intel,i7,2,,8gb,hdd,,16``,31500,used,https://www.kupindo.com/Laptopovi/34284135_SONY-VAIO-PCG-81112M,34284135
Lenovo,intel,i5,2,ddr3,8gb,ssd,256gb, 14``,31050,used,https://www.kupindo.com/Laptopovi/46282013_Lenovo-i5-8gb-256-ssd-Intel-HD-Graphics-4000-Akcija,46282013
Lenovo,intel,i7,2,,4gb,ssd,160gb,15.6`,31050,used,https://www.kupindo.com/Laptopovi/46870093_Lenovo-Intel-i7-4GB-160GB-SSD-Akcija,46870093
